name,annotated_assign_count,annotated_func_params_count,annotated_func_returns_count,total_assign_count,total_func_params_count,total_func_returns_count,unannotated_assign_count,unannotated_func_params_count,unannotated_func_returns_count,py_code_loc,py_code_loc_ratio,py_docstring_loc,py_docstring_loc_ratio,py_comment_loc,py_comment_loc_ratio,py_empty_loc,py_empty_loc_ratio,pylint_convention_msg,pylint_refactor_msg,pylint_warning_msg,pylint_error_msg,py_non_empty_loc,pylint_score,cyclomatic_complexity,cognitive_complexity,bug_score
MBrouns/timeseers,0,16,0,289,289,96,289,273,96,874,0.7720999999999999,33,0.0292,2,0.0018,223,0.19699999999999998,187,25,56,18,909,4.75,146,96,14
naufraghi/tinyaes-py,0,0,0,9,17,11,9,17,11,96,0.5818,16,0.09699999999999999,21,0.1273,32,0.19390000000000002,20,0,14,5,133,0.0,17,9,5
schapman1974/tinymongo,0,0,0,227,181,104,227,181,104,937,0.5255,422,0.23670000000000002,80,0.0449,344,0.1929,97,39,112,5,1439,6.55,326,450,14
wadetb/tinynumpy,0,0,0,560,402,244,560,402,244,2202,0.6347999999999999,313,0.0902,347,0.1,607,0.175,636,112,111,37,2862,4.63,729,1118,4
rdbende/tkcode,0,26,29,109,118,59,109,92,30,584,0.7045,90,0.10859999999999999,8,0.0097,147,0.1773,39,7,15,47,682,3.39,149,136,2
ragardner/tksheet,0,21,0,3053,1943,476,3053,1922,476,10497,0.7866,2093,0.1568,80,0.006,674,0.050499999999999996,3076,521,279,3,12670,5.55,4686,9666,18
python-tls/tls,0,0,0,796,385,209,796,385,209,2454,0.4951,1587,0.32020000000000004,245,0.049400000000000006,671,0.1354,162,91,44,24,4286,7.43,489,50,18
tlsfuzzer/tlslite-ng,0,0,0,9949,4744,3052,9949,4744,3052,35589,0.5915,12071,0.2006,3129,0.052000000000000005,9376,0.1558,7108,640,1134,111,50789,6.58,6963,9080,266
hzulla/tolino-python,0,0,0,104,32,20,104,32,20,441,0.5575,208,0.263,61,0.0771,81,0.1024,136,1,47,2,710,4.14,68,170,12
intgr/topy,0,0,0,47,31,22,47,31,22,274,0.515,112,0.21050000000000002,28,0.0526,118,0.2218,27,2,10,1,414,7.94,56,95,5
kakaobrain/torchgpipe,111,528,276,1658,885,560,1547,357,284,4964,0.6002000000000001,969,0.11720000000000001,471,0.056900000000000006,1867,0.2257,788,117,145,176,6404,5.2,922,911,6
rndusr/torf-cli,0,0,0,868,908,333,868,908,333,3874,0.7506,231,0.044800000000000006,213,0.041299999999999996,843,0.16329999999999997,544,58,78,28,4318,7.51,990,900,16
tqdm/tqdm,0,0,0,1354,738,463,1354,738,463,5880,0.6342,1543,0.1664,486,0.0524,1363,0.147,599,134,127,25,7909,8.06,1578,2238,536
kthyng/tracpy,0,0,0,989,284,66,989,284,66,1977,0.39299999999999996,1166,0.2318,1091,0.2169,797,0.15839999999999999,471,68,213,44,4234,3.9,278,552,51
atselousov/transformer_chatbot,0,0,0,653,314,123,653,314,123,1678,0.6601,99,0.038900000000000004,209,0.08220000000000001,556,0.2187,375,56,45,42,1986,5.19,419,660,35
timkpaine/tributary,0,0,0,1671,1544,791,1671,1544,791,6760,0.6435,1084,0.1032,742,0.0706,1919,0.1827,1176,205,697,97,8586,5.02,1849,2039,113
meeb/tubesync,0,0,0,1353,433,247,1353,433,247,5094,0.7323000000000001,791,0.1137,360,0.0518,711,0.10220000000000001,551,89,213,109,6245,5.62,819,1473,29
tuya-cloudcutter/tuya-cloudcutter,3,118,19,1253,562,257,1250,444,238,3738,0.6512,770,0.1341,428,0.0746,804,0.1401,795,90,252,33,4936,5.91,750,1414,25
octue/twined,0,0,0,215,162,96,215,162,96,1330,0.5605,352,0.1483,252,0.10619999999999999,439,0.185,164,6,37,9,1934,6.72,213,235,29
jdavisp3/twisted-intro,0,0,0,641,642,442,641,642,442,3314,0.6526000000000001,146,0.0288,140,0.0276,1478,0.29109999999999997,901,68,128,173,3600,2.81,484,627,7
andrewsomething/typecatcher,0,0,0,270,167,95,270,167,95,670,0.6713,30,0.0301,164,0.1643,134,0.1343,222,16,58,8,864,3.41,205,332,7
ubidots/ubidots-python,0,0,0,167,181,94,167,181,94,569,0.7193,39,0.0493,3,0.0038,180,0.22760000000000002,128,16,40,24,611,4.04,116,105,30
