name,annotated_assign_count,annotated_func_params_count,annotated_func_returns_count,total_assign_count,total_func_params_count,total_func_returns_count,unannotated_assign_count,unannotated_func_params_count,unannotated_func_returns_count,py_code_loc,py_code_loc_ratio,py_docstring_loc,py_docstring_loc_ratio,py_comment_loc,py_comment_loc_ratio,py_empty_loc,py_empty_loc_ratio,pylint_convention_msg,pylint_refactor_msg,pylint_warning_msg,pylint_error_msg,py_non_empty_loc,pylint_score,cyclomatic_complexity,cognitive_complexity,bug_score
Spooky-Manufacturing/8Q,0,0,0,41,0,0,41,0,0,92,0.3566,4,0.0155,104,0.4031,58,0.2248,18,0,14,8,200,0.89,3,0,2
UcarLab/AMULET,0,0,0,275,65,19,275,65,19,545,0.555,197,0.2006,61,0.0621,179,0.18230000000000002,208,32,35,1,803,4.66,93,264,3
OutlierVentures/ANVIL,0,26,1,437,194,123,437,168,122,1214,0.6444,217,0.1152,91,0.0483,362,0.19210000000000002,426,46,143,22,1522,3.12,128,238,24
adafruit/Adafruit_Python_CharLCD,0,0,0,194,123,50,194,123,50,814,0.5929,175,0.1275,198,0.1442,186,0.1355,121,24,11,5,1187,7.41,107,186,5
yousefissa/Adidas-Sitekey,0,0,0,57,6,9,57,6,9,141,0.6746,12,0.0574,19,0.0909,37,0.177,42,4,30,3,172,2.89,23,26,0
iTeam-S/Ampalibe,0,2,2,186,126,57,186,124,55,881,0.568,448,0.2888,20,0.0129,202,0.13019999999999998,152,11,18,14,1349,5.15,160,259,15
sobjornstad/AnkiLPCG,15,52,26,182,119,61,167,67,35,760,0.5793,281,0.21420000000000003,85,0.06480000000000001,186,0.1418,66,17,34,13,1126,6.69,217,112,10
Anrijs/Aranet4-Python,32,16,3,268,78,48,236,62,45,812,0.7123,129,0.11320000000000001,28,0.0246,171,0.15,86,14,25,6,969,7.54,122,193,6
M0tHs3C/Argo,0,0,0,378,46,41,378,46,41,1090,0.9561,20,0.0175,6,0.0053,24,0.021099999999999997,424,82,165,27,1116,1.67,258,959,7
StanislavUshakov/ArtificialImmuneSystem,0,4,0,270,164,96,270,160,96,841,0.6215999999999999,309,0.2284,25,0.018500000000000003,178,0.1316,90,18,37,0,1175,7.97,220,273,3
fsciortino/Aurora,0,0,0,2714,645,171,2714,645,171,7320,0.5174,3674,0.2597,1367,0.0966,1786,0.12619999999999998,2158,151,315,81,12361,3.88,931,1861,21
LinjianMa/AutoHOOT,0,0,0,2934,1237,716,2934,1237,716,7686,0.5586,2150,0.1562,1320,0.0959,2604,0.1892,1780,213,528,118,11156,5.2,1891,1648,79
IQuOD/AutoQC,0,0,0,2889,763,468,2889,763,468,14517,0.7229000000000001,1878,0.0935,1397,0.0696,2291,0.11410000000000001,3922,198,691,29,17792,1.98,1805,2566,84
Quitten/Autorize,0,0,0,536,290,139,536,290,139,1766,0.7715000000000001,56,0.0245,57,0.024900000000000002,410,0.1791,908,60,474,108,1879,0.0,437,783,49
hmi88/BEGAN-tensorflow,0,0,0,213,47,19,213,47,19,388,0.7145,1,0.0018,38,0.07,116,0.21359999999999998,90,5,17,15,427,4.82,50,54,1
ncbi-nlp/BLUE_Benchmark,0,20,11,600,320,130,600,300,119,1675,0.6731999999999999,358,0.1439,42,0.0169,413,0.166,380,39,434,46,2075,2.81,409,749,0
OpenBMB/BMInf,19,561,108,1175,1013,370,1156,452,262,5538,0.8125,146,0.021400000000000002,133,0.0195,999,0.1466,1326,167,92,89,5817,4.36,919,970,5
ALFA-group/BRON,3,255,73,1050,317,166,1047,62,93,3811,0.7265999999999999,452,0.0862,167,0.0318,815,0.15539999999999998,514,91,385,29,4430,6.05,575,1230,0
BinItAI/BetterLoader,0,0,0,195,116,52,195,116,52,835,0.6135,314,0.23070000000000002,9,0.0066,203,0.1492,70,25,6,11,1158,6.64,129,178,13
tylertreat/BigQuery-Python,0,0,0,1080,477,253,1080,477,253,3562,0.4844,2348,0.3193,206,0.027999999999999997,1237,0.16820000000000002,325,65,137,7,6116,7.47,480,542,37
fox-it/BloodHound.py,0,0,0,1063,671,283,1063,671,283,3738,0.6088,827,0.13470000000000001,729,0.11869999999999999,846,0.1378,658,127,182,50,5294,6.16,1081,2338,36
operatorequals/Blue-Baron,0,0,0,258,0,78,258,0,78,1808,0.7502,323,0.134,2,0.0008,277,0.1149,223,10,0,2,2133,6.47,346,0,12
Alexhuszagh/BreezeStyleSheets,0,0,0,1828,1028,464,1828,1028,464,12411,0.8397,596,0.0403,644,0.0436,1130,0.0764,439,67,263,8,13651,8.33,560,664,47
frank-xwang/CLD-UnsupervisedLearning,0,0,0,2189,1195,393,2189,1195,393,5707,0.6645,910,0.106,544,0.0633,1427,0.16620000000000001,1107,409,160,177,7161,4.58,959,1440,0
watsonyanghx/CNN_LSTM_CTC_Tensorflow,0,0,0,175,56,26,175,56,26,457,0.6473,46,0.0652,52,0.0737,151,0.2139,82,9,33,6,555,5.99,72,114,1
JunMa11/COVID-19-CT-Seg-Benchmark,0,0,0,139,12,6,139,12,6,489,0.7288,58,0.0864,45,0.06709999999999999,79,0.1177,106,15,116,1,592,0.0,17,33,1
autonise/CRAFT-Remade,0,0,0,893,315,108,893,315,108,2514,0.5179,751,0.1547,438,0.0902,1151,0.2371,488,103,1507,64,3703,0.0,383,855,11
Juyong/CaricatureFace,0,0,0,331,76,23,331,76,23,604,0.8118000000000001,40,0.0538,39,0.0524,61,0.08199999999999999,150,30,44,12,683,4.7,65,66,1
DevashishPrasad/CascadeTabNet,0,0,0,514,58,25,514,58,25,1648,0.7542,11,0.005,308,0.141,218,0.0998,436,71,448,22,1967,0.18,318,957,6
Manishearth/ChatExchange,0,0,0,634,332,171,634,332,171,1969,0.6479,354,0.1165,94,0.030899999999999997,622,0.2047,244,76,76,27,2417,6.58,556,583,58
stanfordmlgroup/CheXbert,0,0,0,269,87,32,269,87,32,632,0.6282,242,0.24059999999999998,12,0.011899999999999999,120,0.1193,171,18,238,21,886,0.41,99,180,0
Jack477/CommanderPi,0,1,0,513,43,70,513,42,70,1333,0.7544,8,0.0045000000000000005,84,0.0475,342,0.1935,524,60,1182,8,1425,0.0,142,408,4
anindita127/Complextext2animation,0,0,0,2643,1168,389,2643,1168,389,6352,0.7037,596,0.066,683,0.0757,1395,0.15460000000000002,1643,389,1503,166,7631,1.74,1072,1887,2
rev3ks/Crypto-Liquid-Market-Maker,0,0,0,610,457,293,610,457,293,2277,0.6418,324,0.0913,348,0.0981,599,0.16879999999999998,395,52,1736,47,2949,0.0,554,528,20
fieldOfView/Cura-ZOffsetPlugin,0,0,0,38,6,5,38,6,5,127,0.635,19,0.095,18,0.09,36,0.18,24,8,5,6,164,4.37,34,121,1
LilitYolyan/CutPaste,3,16,6,264,142,57,261,126,51,711,0.5661,160,0.1274,216,0.172,169,0.1346,262,20,40,48,1087,0.99,132,120,10
scaelles/DEXTR-PyTorch,0,0,0,688,266,95,688,266,95,1698,0.7332,97,0.04190000000000001,96,0.0415,425,0.18350000000000002,343,90,33,55,1891,5.04,404,770,0
NeuralSec/Daedalus-attack,0,0,0,844,174,60,844,174,60,1494,0.6349,350,0.1487,187,0.0795,322,0.1368,369,72,887,65,2031,0.0,173,468,0
gbeckers/Darr,0,0,0,1068,741,435,1068,741,435,4765,0.5778,2208,0.2677,425,0.051500000000000004,849,0.10289999999999999,776,68,296,4,7398,6.71,945,1429,181
OsciiArt/DeepAA,0,0,0,148,32,10,148,32,10,271,0.7743000000000001,0,0.0,23,0.06570000000000001,56,0.16,85,10,19,7,294,3.63,23,45,10
JiaxiongQ/DeepLiDAR,0,0,0,1217,359,132,1217,359,132,2084,0.7726999999999999,37,0.0137,27,0.01,549,0.2036,540,180,216,63,2148,3.43,270,281,0
jeppe742/DeltaLakeReader,0,5,0,244,142,133,244,137,133,1303,0.6716,117,0.0603,206,0.10619999999999999,314,0.16190000000000002,187,36,8,27,1626,5.09,264,128,2
DH-AL/Dh-All,0,0,0,1,0,4,1,0,4,126,0.9473999999999999,0,0.0,1,0.0075,6,0.0451,15,14,99,30,127,0.0,34,33,0
Tom-the-Bomb/Discord-Games,188,393,218,906,616,234,718,223,16,3431,0.6457999999999999,854,0.1607,10,0.0019,1018,0.1916,801,98,115,69,4295,4.65,687,1075,80
vysecurity/DomLink,0,0,0,75,15,11,75,15,11,242,0.8491,5,0.0175,2,0.006999999999999999,36,0.1263,60,10,12,0,249,6.11,75,195,8
harsimrans/DropboxSyncer,0,0,0,146,64,36,146,64,36,533,0.7212000000000001,51,0.069,41,0.0555,114,0.1543,160,13,71,4,625,4.56,125,324,2
lyh-18/EQVI,0,0,0,1309,579,195,1309,579,195,3613,0.6551,449,0.0814,407,0.0738,1046,0.18969999999999998,1665,200,464,104,4469,0.0,514,686,6
0v3rride/Enum4LinuxPy,0,0,0,131,28,27,131,28,27,825,0.7161,31,0.0269,68,0.059000000000000004,228,0.1979,338,27,66,3,924,2.82,202,619,0
AndreMiras/EtherollApp,1,3,0,676,396,260,675,393,260,2177,0.6424,528,0.1558,233,0.0688,451,0.1331,211,28,87,122,2938,4.97,442,234,140
CheckPointSW/ExportImportPolicyPackage,0,0,0,701,219,80,701,219,80,2435,0.6363,851,0.2224,75,0.0196,466,0.12179999999999999,414,80,73,31,3361,6.54,854,2274,40
BnademOverflow/FRDP,29,70,38,101,88,42,72,18,4,532,0.7461,30,0.0421,5,0.006999999999999999,146,0.2048,87,15,16,48,567,0.35,67,68,1
R-O-C-K-E-T/Factorio-SAT,57,321,105,1133,591,283,1076,270,178,4738,0.7498,82,0.013000000000000001,85,0.013500000000000002,1414,0.2238,803,100,166,309,4905,3.5,1344,3089,7
LuckyX182/Filament_sensor_simplified,0,0,0,77,68,31,77,68,31,404,0.6836,7,0.0118,94,0.1591,86,0.14550000000000002,125,27,46,5,505,3.03,104,199,45
playpauseandstop/Flask-And-Redis,0,0,0,218,83,59,218,83,59,720,0.4548,330,0.20850000000000002,211,0.1333,322,0.2034,67,6,20,49,1261,4.3,132,156,12
ClementPinard/FlowNetPytorch,0,0,0,390,177,68,390,177,68,1018,0.7189,101,0.0713,33,0.0233,264,0.1864,220,55,24,31,1152,4.69,185,228,26
myusko/GitterPy,0,0,0,52,131,66,52,131,66,319,0.6831,54,0.11560000000000001,0,0.0,94,0.20129999999999998,88,2,9,1,373,5.34,80,25,10
Tosche/Glyphs-Scripts,0,0,0,1175,224,111,1175,224,111,3557,0.6733,863,0.1634,319,0.0604,544,0.10300000000000001,1568,137,3257,278,4739,0.0,1028,3524,36
FayasNoushad/GoFile-Bot,0,0,0,27,7,3,27,7,3,151,0.8531,1,0.005600000000000001,0,0.0,25,0.1412,16,3,7,5,152,4.46,20,61,0
flopp/GpxTrackPoster,36,194,145,498,312,150,462,118,5,2173,0.7326,284,0.0958,137,0.0462,372,0.12539999999999998,258,34,7,53,2594,6.36,491,672,36
robmarkcole/HASS-Sighthound,0,0,0,93,46,21,93,46,21,278,0.7989,25,0.0718,1,0.0029,44,0.1264,2,4,2,8,304,7.64,44,46,2
ugraveknight/Healslut-Master,0,0,0,1132,502,187,1132,502,187,3361,0.7972,156,0.037000000000000005,273,0.06480000000000001,426,0.10099999999999999,1914,96,3300,46,3790,0.0,673,3167,2
alibaba/HybridBackend,0,0,0,2696,1631,729,2696,1631,729,10552,0.6456000000000001,2411,0.1475,1544,0.09449999999999999,1838,0.1125,522,299,6993,310,14507,0.0,1562,2299,2
hav4ik/Hydra,0,0,0,582,309,101,582,309,101,1825,0.637,603,0.21050000000000002,73,0.0255,364,0.12710000000000002,134,102,38,65,2501,5.75,426,756,12
RohanJnr/IceBook-Django,2,27,29,206,83,43,204,56,14,919,0.6612,160,0.1151,30,0.0216,281,0.2022,99,36,13,81,1109,0.14,109,59,0
dabasajay/Image-Caption-Generator,0,0,0,175,63,25,175,63,25,512,0.6728000000000001,64,0.08410000000000001,134,0.1761,51,0.067,153,36,333,19,710,0.0,84,122,4
CurryYuan/InstanceRefer,0,5,0,1904,698,254,1904,693,254,4423,0.6723,529,0.08039999999999999,595,0.0904,1032,0.15689999999999998,1345,184,141,135,5547,3.12,597,1037,3
Sleepingpirates/Invitarr,0,2,0,114,62,35,114,60,35,523,0.8490000000000001,18,0.0292,7,0.011399999999999999,68,0.1104,139,19,56,19,548,3.18,101,297,25
yijingru/KG_Instance_Segmentation,0,0,0,947,382,138,947,382,138,1871,0.7655,94,0.0385,79,0.0323,400,0.1637,496,95,53,27,2044,5.45,327,468,0
HuguesTHOMAS/KPConv,0,0,0,4094,726,239,4094,726,239,9309,0.5102,761,0.0417,3951,0.21660000000000001,4223,0.23149999999999998,2236,484,471,95,14021,5.35,1379,4897,6
ligershark/Kulture,0,0,0,118,28,15,118,28,15,393,0.8137000000000001,4,0.0083,19,0.0393,67,0.1387,108,19,19,11,416,4.31,98,264,5
andrethemac/L76GLNSV4,0,0,0,138,105,42,138,105,42,391,0.7020000000000001,65,0.1167,51,0.0916,50,0.0898,75,15,17,20,507,4.48,132,250,16
facebookresearch/LASER,23,62,26,698,345,104,675,283,78,2810,0.7021,177,0.044199999999999996,472,0.11789999999999999,543,0.13570000000000002,498,75,134,53,3459,5.4,518,1080,9
dydx/Laravel-5-Artisan,0,0,0,13,15,7,13,15,7,63,0.8181999999999999,3,0.039,1,0.013000000000000001,10,0.12990000000000002,12,2,11,2,67,3.75,16,30,10
zyn3rgy/LdapRelayScan,0,0,0,42,18,7,42,18,7,191,0.764,1,0.004,35,0.14,23,0.092,83,15,38,3,227,0.9,52,148,2
miohtama/LibertyMusicStore,0,0,0,856,338,194,856,338,194,2717,0.5466,656,0.132,390,0.0785,1208,0.243,503,66,185,182,3763,2.41,406,559,14
AccentuSoft/LinkScope_Client,5,415,467,6070,1958,876,6065,1543,409,20543,0.6933,3955,0.1335,1026,0.0346,4108,0.1386,7942,1063,262,178,25524,4.15,4278,13455,73
Thezap/Linker_EPITECH_To_GOOGLE_Calendar,0,0,0,44,16,13,44,16,13,146,0.7087,20,0.0971,6,0.0291,34,0.165,39,4,2,3,172,5.16,49,79,4
ChengBinJin/MRI-to-CT-DCNN-TensorFlow,0,0,0,408,209,63,408,209,63,932,0.6883,2,0.0015,134,0.099,286,0.2112,263,29,34,12,1068,5.4,151,267,5
mtill/MailWebsiteChanges,0,0,0,139,63,23,139,63,23,419,0.6972,3,0.005,45,0.07490000000000001,134,0.223,129,17,12,1,467,5.77,126,275,22
AznStevy/Maybe-Useful-Cogs,0,86,0,1240,506,184,1240,420,184,3864,0.7817000000000001,213,0.0431,228,0.0461,638,0.1291,812,80,169,44,4305,6.01,878,1910,35
MobProgramming/MobTimer.Python,0,0,0,491,417,217,491,417,217,1789,0.7976000000000001,11,0.0049,2,0.0009,441,0.1966,514,49,81,10,1802,5.71,393,362,4
CEA-COSMIC/ModOpt,0,0,0,1062,776,375,1062,776,375,2697,0.29960000000000003,5023,0.5579,284,0.0315,999,0.111,136,57,50,9,8004,8.48,785,778,54
TenySmart/ModbusTCP2MQTT,0,0,0,355,85,45,355,85,45,1218,0.7342,92,0.0555,111,0.0669,238,0.1435,312,37,203,44,1421,3.05,365,910,3
Conchylicultor/MusicGenerator,0,0,0,532,291,185,532,291,185,1284,0.48560000000000003,524,0.19820000000000002,411,0.15539999999999998,425,0.1607,302,30,80,12,2219,5.51,376,540,5
mabuchilab/NiceLib,0,0,0,951,653,285,951,653,285,3448,0.6514,580,0.1096,333,0.0629,932,0.1761,489,105,190,128,4361,5.11,1025,1779,40
EelcoHoogendoorn/Numpy_arraysetops_EP,0,0,0,396,241,138,396,241,138,1049,0.4393,938,0.39280000000000004,69,0.028900000000000002,332,0.139,166,17,369,2,2056,3.84,209,197,18
jbwang1997/OBBDetection,0,2,0,13670,6030,1755,13670,6028,1755,48356,0.7045999999999999,10893,0.15869999999999998,2650,0.038599999999999995,6734,0.0981,3418,3185,969,743,61899,5.69,7641,9856,12
Coffee-fueled-deadlines/OSRSBytes,0,19,0,111,57,33,111,38,33,357,0.4113,345,0.3975,76,0.0876,90,0.10369999999999999,163,16,312,1,778,0.0,86,135,3
gdombiak/OctoPrint-OctoPod,0,0,0,318,331,104,318,331,104,1227,0.5715,275,0.1281,309,0.1439,336,0.1565,248,48,957,8,1811,0.0,445,739,8
fraschetti/Octoslack,0,0,0,957,173,67,957,173,67,3966,0.6955,799,0.1401,164,0.0288,773,0.1356,558,91,92,23,4929,6.53,997,3582,22
wangshenguiuc/OnClass,0,0,0,3997,1553,336,3997,1553,336,3567,0.7951,147,0.032799999999999996,303,0.0675,469,0.1045,1064,152,3276,81,4017,0.0,1731,3725,5
bpozdena/OneDriveGUI,0,1,0,481,164,105,481,163,105,2205,0.665,103,0.0311,252,0.076,756,0.228,528,51,873,29,2560,2.03,216,305,7
gaowanliang/OneDriveShareLinkPushAria2,0,0,0,141,30,11,141,30,11,343,0.6317,71,0.1308,49,0.0902,80,0.14730000000000001,178,9,9,3,463,2.82,42,105,3
chaofengc/PSFRGAN,0,0,0,685,420,165,685,420,165,1962,0.6908,367,0.1292,52,0.0183,459,0.1616,648,67,159,102,2381,2.27,425,590,1
1ultimat3/PcapViz,0,0,0,111,47,29,111,47,29,320,0.7843000000000001,10,0.0245,8,0.0196,70,0.1716,104,7,208,20,338,0.0,109,171,11
AirSage/Petrel,0,0,0,362,318,163,362,318,163,1569,0.7093,93,0.042,152,0.0687,398,0.17989999999999998,452,46,124,31,1814,3.84,333,546,4
ClaudiuGeorgiu/PlaystoreDownloader,5,35,15,1003,243,95,998,208,80,12509,0.8633,657,0.0453,408,0.0282,916,0.0632,250,32,101,22,13574,7.12,206,258,4
erikwijmans/Pointnet2_PyTorch,0,4,1,259,188,83,259,184,82,794,0.7626999999999999,39,0.0375,4,0.0038,204,0.196,97,32,31,48,837,1.77,144,127,15
mirhmousavi/Pois,0,0,0,62,44,29,62,44,29,262,0.677,34,0.08789999999999999,20,0.051699999999999996,71,0.18350000000000002,52,2,20,6,316,5.0,69,69,13
tnlin/PokemonGo-TSP,0,0,0,71,19,12,71,19,12,212,0.6503,18,0.0552,39,0.11960000000000001,57,0.1748,60,5,12,0,269,5.79,30,67,6
toms3t/Propalyzer,0,2,0,496,89,79,496,87,79,1103,0.4007,1431,0.5197999999999999,23,0.0084,196,0.0712,700,31,36,53,2557,0.0,170,216,11
AislerHQ/PushForKiCad,0,0,0,63,16,10,63,16,10,228,0.7575,16,0.053200000000000004,10,0.0332,47,0.1561,36,8,11,5,254,5.32,36,44,2
redcap-tools/PyCap,2,480,140,549,769,289,547,289,149,2838,0.5461,1417,0.2727,130,0.025,812,0.1562,0,25,0,16,4385,9.31,465,311,34
Vanderhoof/PyDBML,73,88,329,1572,605,468,1499,517,139,5534,0.76,649,0.0891,38,0.0052,1061,0.1457,1089,44,98,12,6221,7.21,894,687,29
geekpradd/PyDictionary,0,0,0,37,32,20,37,32,20,190,0.8370000000000001,6,0.0264,0,0.0,31,0.1366,61,5,24,3,196,3.14,61,138,9
dvingerh/PyInstaStories,0,0,0,73,22,10,73,22,10,410,0.8384,9,0.0184,14,0.0286,56,0.11449999999999999,83,21,379,2,433,0.0,75,396,2
GeoStat-Framework/PyKrige,0,0,0,1695,514,167,1695,514,167,6714,0.6019,2678,0.2401,591,0.053,1172,0.1051,873,267,183,31,9983,6.35,1176,1518,37
microsoft/PyMarlin,180,161,44,1520,1285,570,1340,1124,526,5498,0.6305,1718,0.19699999999999998,291,0.0334,1213,0.1391,739,101,365,150,7507,5.37,1177,1110,33
Anorov/PySocks,0,0,0,274,171,73,274,171,73,973,0.6734,131,0.0907,125,0.08650000000000001,216,0.1495,108,39,58,3,1229,7.29,195,522,27
qzhu2017/PyXtal,0,2,0,6757,2178,850,6757,2176,850,16557,0.6546,4823,0.1907,1457,0.0576,2456,0.0971,3508,713,774,218,22837,5.52,4543,10857,229
MenuDocs/Pyro,130,132,43,650,436,204,520,304,161,2937,0.7202,298,0.0731,125,0.030699999999999998,718,0.1761,236,65,39,64,3360,6.74,633,1095,41
stashvala/Pytorch-VideoMatch,0,0,0,300,183,67,300,183,67,826,0.6809999999999999,14,0.0115,60,0.0495,313,0.258,190,22,43,15,900,5.61,198,240,8
Q-Stream/Q-Stream,0,0,0,368,114,90,368,114,90,1645,0.7106,214,0.0924,147,0.0635,309,0.1335,454,27,226,32,2006,4.45,173,197,3
corbett/QuantumComputing,0,0,0,450,168,128,450,168,128,1982,0.8801000000000001,21,0.009300000000000001,99,0.044000000000000004,150,0.0666,322,27,1302,2,2102,0.0,282,373,5
yuhuan-wu/RDPNet,0,0,0,5485,3004,1097,5485,3004,1097,16184,0.6391,3371,0.1331,1924,0.076,3844,0.1518,2628,672,1153,483,21479,4.55,3411,5885,1
BiznetGIO/RESTKnot,0,0,0,1324,409,275,1324,409,275,3993,0.669,761,0.1275,239,0.04,976,0.1635,629,171,235,139,4993,5.08,794,1640,106
lucidrains/RETRO-pytorch,0,0,0,351,284,66,351,284,66,1045,0.6568,23,0.014499999999999999,125,0.0786,398,0.2502,162,28,19,19,1193,5.29,118,148,17
RFExplorer/RFExplorer-for-Python,0,0,0,960,352,239,960,352,239,2961,0.6164000000000001,738,0.1536,585,0.12179999999999999,520,0.1082,76,54,66,20,4284,8.75,776,2034,11
kratzert/RRMPG,0,0,0,627,248,95,627,248,95,1580,0.39039999999999997,1261,0.3116,620,0.1532,586,0.1448,903,61,19,7,3461,1.95,326,547,12
yuxiangsun/RTFNet,0,0,0,254,73,26,254,73,26,617,0.7684000000000001,1,0.0012,52,0.06480000000000001,133,0.1656,236,22,29,18,670,3.4,110,176,0
RedRobotics/RedBoard,0,0,0,649,65,100,649,65,100,2115,0.6004999999999999,6,0.0017000000000000001,461,0.1309,940,0.2669,885,95,318,33,2582,2.84,542,1340,0
hsokooti/RegNet,0,0,0,4806,907,283,4806,907,283,9337,0.7537,1195,0.0965,507,0.0409,1350,0.109,3147,371,394,86,11039,4.59,1786,4271,2
gyh75520/Relational_DRL,0,0,0,4033,2830,924,4033,2830,924,10973,0.5514,5072,0.2548,1106,0.0556,2751,0.1382,1431,518,124,124,17151,7.14,2459,3652,5
avanov/Rhetoric,0,0,0,367,326,151,367,326,151,1433,0.5142,441,0.1582,388,0.1392,525,0.1884,263,61,86,34,2262,4.74,334,344,0
DoubleGremlin181/RubiksCubeGym,0,0,0,189,80,55,189,80,55,657,0.764,16,0.018600000000000002,3,0.0034999999999999996,184,0.214,122,36,6,13,676,5.8,158,215,3
Lartza/SBbrowser,0,17,25,212,54,36,212,37,11,477,0.6616,51,0.0707,34,0.0472,159,0.2205,109,28,2,22,562,3.93,91,83,8
CalciferZh/SMPL-AMC-Imitator,0,0,0,442,138,71,442,138,71,1151,0.7543000000000001,150,0.0983,37,0.0242,188,0.1232,207,22,740,95,1338,0.0,233,435,7
Sean-Bradley/SNMP2ZABBIX,0,0,0,46,2,2,46,2,2,298,0.8054000000000001,11,0.0297,31,0.08380000000000001,30,0.08109999999999999,21,1,8,0,340,7.83,39,121,0
prabaprakash/Saavn-Downloader,0,0,0,302,121,55,302,121,55,834,0.6169,204,0.1509,158,0.11689999999999999,156,0.11539999999999999,198,10,547,6,1196,0.0,192,449,14
hansehv/SamplerBox,0,0,0,2136,676,429,2136,676,429,6345,0.8126000000000001,154,0.0197,806,0.1032,503,0.0644,2616,235,2466,58,7305,0.65,1792,5953,42
vacancy/SceneGraphParser,0,0,0,76,32,23,76,32,23,340,0.42710000000000004,142,0.1784,175,0.2198,139,0.1746,83,16,14,2,657,5.1,99,168,10
dongkwonjin/Semantic-Line-SLNet,0,0,0,657,270,125,657,270,125,1416,0.6574,55,0.0255,107,0.049699999999999994,576,0.26739999999999997,382,66,84,39,1578,4.3,232,287,0
Shuffle/Shuffle-docs,0,0,0,18,0,0,18,0,0,61,0.7262000000000001,8,0.09519999999999999,4,0.047599999999999996,11,0.131,23,1,1,2,73,3.86,18,60,23
harshbg/Sign-Language-Interpreter-using-Deep-Learning,0,0,0,265,16,26,265,16,26,619,0.8755,0,0.0,12,0.017,76,0.1075,148,15,518,22,631,0.0,113,314,0
MLNLP-World/SimBiber,0,0,0,58,22,17,58,22,17,242,0.7987000000000001,19,0.06269999999999999,4,0.0132,38,0.12539999999999998,48,3,17,4,265,5.73,74,140,5
Terrance/SkPy,0,0,0,616,474,263,616,474,263,2340,0.46149999999999997,2127,0.41950000000000004,118,0.0233,485,0.09570000000000001,932,36,83,263,4585,0.0,553,782,12
shahab-sarmashghi/Skmer,0,0,0,328,65,17,328,65,17,725,0.6958,35,0.0336,103,0.09880000000000001,179,0.1718,289,57,37,0,863,3.99,126,232,4
Minims/SomfyProtect2MQTT,0,111,80,268,279,127,268,168,47,1576,0.5022,914,0.2913,316,0.1007,332,0.1058,20,21,63,13,2806,8.17,240,291,2
hasanhuz/SpanEmo,0,0,0,142,57,21,142,57,21,365,0.6392,121,0.2119,25,0.0438,60,0.1051,39,14,7,22,511,4.31,67,83,0
PlasmaPy/SpectroscoPyx,0,0,0,262,102,62,262,102,62,1049,0.4698,469,0.21,332,0.1487,383,0.17149999999999999,132,17,68,23,1850,6.08,242,418,14
mattiasnordin/StataEditor,0,0,0,77,37,18,77,37,18,260,0.8025,4,0.0123,18,0.0556,42,0.12960000000000002,75,26,257,6,282,0.0,70,174,7
gaborvecsei/Stocks-Pattern-Analyzer,22,79,23,279,131,72,257,52,49,801,0.6811,53,0.0451,64,0.054400000000000004,258,0.2194,134,16,20,16,918,5.93,105,106,3
5ymph0en1x/SyDOM,0,0,0,693,220,99,693,220,99,1819,0.7445999999999999,43,0.0176,335,0.1371,246,0.1007,483,93,92,12,2197,5.73,514,1476,0
Mte90/SyntaxAutoFix,0,0,0,86,31,27,86,31,27,375,0.7411,7,0.0138,32,0.0632,92,0.1818,73,4,33,9,414,5.37,61,104,24
cartercarlson/TAcharts,0,0,0,433,188,79,433,188,79,1227,0.6114,145,0.0722,158,0.0787,477,0.2377,240,23,61,26,1530,5.57,224,316,3
barisgecer/TBGAN,0,0,0,1452,788,263,1452,788,263,3626,0.6999,178,0.0344,680,0.13119999999999998,697,0.13449999999999998,1313,131,311,78,4484,3.74,835,1448,8
songjinghe/TYS-zh-translation,0,0,0,3,1,1,3,1,1,16,0.5926,0,0.0,3,0.11109999999999999,8,0.2963,10,1,1,0,19,2.0,7,12,8
leohsuofnthu/Tensorflow-YOLACT,0,0,0,806,358,118,806,358,118,1744,0.5972999999999999,337,0.11539999999999999,324,0.111,515,0.1764,261,82,49,35,2405,6.05,262,341,69
theonewolf/TermRecord,0,0,0,0,0,1,0,0,1,24,0.233,58,0.5631,14,0.1359,7,0.068,2,0,0,0,96,6.0,2,0,16
XaF/TraktForVLC,0,0,0,584,230,80,584,230,80,2666,0.5827,552,0.1207,779,0.1703,578,0.1263,321,98,279,31,3997,5.48,555,1636,9
sharkykh/TraktPlaybackProgressManager,0,0,0,132,70,47,132,70,47,1256,0.8161,56,0.0364,54,0.0351,173,0.1124,83,32,15,14,1366,6.62,113,166,3
andrei-zgirvaci/Twitch-Farmer,0,0,0,36,7,9,36,7,9,178,0.6926000000000001,3,0.011699999999999999,8,0.0311,68,0.2646,41,4,18,6,189,4.19,25,116,6
tomaarsen/TwitchMarkovChain,19,51,44,173,103,54,154,52,10,971,0.5321,512,0.2805,158,0.0866,184,0.1008,206,19,73,7,1641,5.2,214,466,8
Programeiros/TycotBot,0,0,0,80,87,53,80,87,53,408,0.6135,130,0.1955,9,0.013500000000000002,118,0.17739999999999997,44,8,5,20,547,4.92,78,94,4
RichardHGL/UPGAN,0,0,0,1623,832,268,1623,832,268,3639,0.8112,118,0.0263,264,0.0588,465,0.10369999999999999,644,202,324,278,4021,2.35,713,1056,0
