name,annotated ≥ 20,annotated_ratio,py_code_loc,pylint_convention_msg_norm,pylint_refactor_msg_norm,pylint_warning_msg_norm,pylint_error_msg_norm,cyclomatic_complexity_norm,cognitive_complexity_norm,bug_score_norm
vasusen-code/SaveRestrictedContentBot,FALSE,0.011428571,70,0.228571429,0,0.042857143,0.057142857,1.228571429,3.6,0
vasusen-code/SaveRestrictedContentBot,FALSE,0.011428571,70,0.228571429,0,0.042857143,0.057142857,1.228571429,3.6,0
ankicommunity/anki-sync-server,FALSE,0.010928962,2391,0.212463404,0.023421163,0.076955249,0.025094103,0.250104559,0.287745713,0.015474697
iTeam-S/Ampalibe,FALSE,0.010840108,881,0.172531215,0.012485812,0.020431328,0.015891033,0.181611805,0.293984109,0.017026107
IBM/ibm-spectrum-scale-bridge-for-grafana,FALSE,0.010791367,1904,0.352415966,0.021533613,0.034663866,0.010504202,0.349789916,0.50262605,0.013655462
guyskk/validr,FALSE,0.00972973,2887,0.145826117,0.012469692,0.015240734,0.019397298,0.20228611,0.301350883,0.026671285
jeppe742/DeltaLakeReader,FALSE,0.009633911,1303,0.143514965,0.02762855,0.006139678,0.020721412,0.202609363,0.098234843,0.001534919
Sleepingpirates/Invitarr,FALSE,0.009478673,523,0.265774379,0.036328872,0.10707457,0.036328872,0.193116635,0.567877629,0.047801147
bagrat/calm,FALSE,0.009433962,1173,0.098891731,0.028985507,0.056265985,0.006820119,0.196078431,0.170502984,0.000852515
erikwijmans/Pointnet2_PyTorch,FALSE,0.009433962,794,0.122166247,0.040302267,0.039042821,0.060453401,0.181360202,0.159949622,0.018891688
nemocrys/pyelmer,FALSE,0.008941878,3319,0.106658632,0.025308828,0.040674902,0.004218138,0.178969569,0.340765291,0.00271166
linzhiming0826/sanic-restful,FALSE,0.008650519,904,0.091814159,0.050884956,0.034292035,0.022123894,0.287610619,0.496681416,0.005530973
pmeletis/panoptic_parts,FALSE,0.008012821,2123,0.154498351,0.041921809,0.760244936,0.0089496,0.215732454,0.415920867,0.004710316
imperva/incapsula-cli,FALSE,0.007897335,2893,0.363982026,0.066021431,0.025578984,0.002419634,0.214310404,0.434497062,0.001382648
StanislavUshakov/ArtificialImmuneSystem,FALSE,0.00754717,841,0.107015458,0.021403092,0.043995244,0,0.261593341,0.324613555,0.003567182
camall3n/onager,FALSE,0.007117438,1201,0.153205662,0.018318068,0.0316403,0.005828476,0.213988343,0.301415487,0.008326395
s0nik42/lotus-farcaster,FALSE,0.007058824,797,0.006273526,0.00250941,0.028858218,0.003764115,0.199498118,0.43663739,0.003764115
ChristopherRogers1991/mycroft-hue,FALSE,0.007042254,320,0.1125,0.025,0.025,0.025,0.215625,0.534375,0.053125
jamasoftware-ps/py-jama-rest-client,FALSE,0.006795017,1148,0.201219512,0.011324042,0.051393728,0.003484321,0.202090592,0.155923345,0.00261324
neu-vi/ezflow,FALSE,0.006148867,6286,0.103404391,0.040089087,0.011772192,0.019408209,0.152083996,0.208240535,0.005090678
IsHYuhi/ST-CGAN_Stacked_Conditional_Generative_Adversarial_Networks,FALSE,0.006147541,752,0.309840426,0.050531915,0.089095745,0.03856383,0.156914894,0.231382979,0.006648936
IsHYuhi/ST-CGAN_Stacked_Conditional_Generative_Adversarial_Networks,FALSE,0.006147541,752,0.309840426,0.050531915,0.089095745,0.03856383,0.156914894,0.231382979,0.006648936
shortbloke/home_assistant_config,FALSE,0.005586592,1512,0.068783069,0.017195767,0.020502646,0.017195767,0.222222222,0.30952381,0.011904762
judev1/FBot,FALSE,0.005350455,3456,0.210358796,0.022569444,0.0390625,0.024594907,0.235821759,0.45630787,0.015914352
tayler6000/pyVoIP,FALSE,0.004790419,1447,0.469246717,0.03040774,0.890808569,0.02211472,0.234277816,0.442294402,0.007601935
OpenSCAP/oval-graph,FALSE,0.004746835,2607,0.069044879,0.001534331,0.001150748,0.004986575,0.229382432,0.190640583,0.023782125
PureStorage-OpenConnect/pure-exporter,FALSE,0.004550626,1900,0.176315789,0.026842105,0.025263158,0.006842105,0.242631579,0.377368421,0.011052632
modzy/sdk-python,FALSE,0.004535147,5129,0.122830961,0.048937415,0.102944044,0.011698187,0.094170404,0.098654709,0.003119516
jxx123/simglucose,FALSE,0.004472272,2108,0.20256167,0.024193548,0.027988615,0.013757116,0.158918406,0.190702087,0.008538899
paparazzi/pprzlink,FALSE,0.00433974,3096,0.225775194,0.038436693,0.051033592,0.017118863,0.217700258,0.476421189,0.019702842
pydata/sparse,FALSE,0.004253414,6448,0.11073201,0.027295285,0.034584367,0.004497519,0.268145161,0.459832506,0.007754342
farhadab/sec-edgar-financials,FALSE,0.003875969,845,0.197633136,0.029585799,0.035502959,0.008284024,0.293491124,0.572781065,0.00591716
dbcli/pgcli,FALSE,0.003641092,8608,0.109665428,0.012662639,0.018703532,0.01614777,0.189242565,0.226068773,0.027648699
iiEpic/wco-dl,FALSE,0.003333333,603,0.331674959,0.048092869,0.03814262,0.00331675,0.306799337,0.665008292,0.019900498
20c/vaping,FALSE,0.003293085,1942,0.079299691,0.023686921,0.041709578,0.023686921,0.234809475,0.298661174,0.035530381
toms3t/Propalyzer,FALSE,0.003012048,1103,0.63463282,0.028105168,0.032638259,0.048050771,0.154125113,0.195829556,0.009972801
AndreMiras/EtherollApp,FALSE,0.003003003,2177,0.09692237,0.012861736,0.039963252,0.056040423,0.203031695,0.107487368,0.064308682
sarvjeets/lakshmi,FALSE,0.002998501,4267,0.075931568,0.011717835,0.0297633,0.005858917,0.166861964,0.139910944,0.011483478
sentriz/betanin,FALSE,0.002890173,1093,0.098810613,0.01189387,0.020128088,0.034766697,0.101555352,0.066788655,0.04757548
VACUMM/sphinx-fortran,FALSE,0.002840909,1977,0.09610521,0.026302479,0.048558422,0.020232676,0.303490137,0.607991907,0.004552352
SciCrunch/scibot,FALSE,0.002802242,4858,0.201934953,0.034993825,0.108892548,0.036640593,0.321943186,0.490942775,0.013585838
rchakode/kube-opex-analytics,FALSE,0.00265252,692,0.242774566,0.030346821,0.023121387,0.007225434,0.299132948,0.654624277,0.069364162
elimintz/justpy,FALSE,0.002649007,4386,0.343593251,0.0125399,0.05745554,0.01504788,0.215230278,0.359553124,0
astropy/pyvo,FALSE,0.002438175,9755,0.093695541,0.023065095,0.045822655,0.021322399,0.286212199,0.208508457,0.015991799
okta-awscli/okta-awscli,FALSE,0.002283105,964,0.090248963,0.033195021,0.020746888,0.005186722,0.238589212,0.487551867,0.032157676
HurricaneLabs/machinae,FALSE,0.002227171,952,0.160714286,0.030462185,0.018907563,0.009453782,0.323529412,0.660714286,0.009453782
NISH1001/playx,FALSE,0.002220577,2325,0.134193548,0.029677419,0.034408602,0.006451613,0.209462366,0.299354839,0.022365591
HearthSim/python-hsreplay,FALSE,0.001988072,1013,0.171767029,0.009871668,0.640671273,0.112537019,0.27739388,0.428430405,0.006910168
openergy/opyplus,FALSE,0.001759789,4257,0.11627907,0.023255814,0.039464412,0.011275546,0.279304675,0.396053559,0.042753113
CurryYuan/InstanceRefer,FALSE,0.0017507,4423,0.304092245,0.041600723,0.031878815,0.03052227,0.13497626,0.234456251,0.000678273
apetrycki/daikinskyport,FALSE,0.00173913,1167,0.05227078,0.023993145,0.031705227,0.019708655,0.173093402,0.255355613,0.009425878
cloudcores/CuAssembler,FALSE,0.001717475,3796,0.428872497,0.030031612,0.063224447,0.004214963,0.234984194,0.393308746,0.002370917
haltakov/simple-photo-gallery,FALSE,0.001680672,1712,0.080023364,0.019859813,0.046728972,0.007593458,0.150116822,0.185163551,0.012850467
roboflow-ai/roboflow-python,FALSE,0.001672241,998,0.194388778,0.034068136,0.063126253,0.014028056,0.234468938,0.345691383,0.02004008
Jack477/CommanderPi,FALSE,0.001597444,1333,0.393098275,0.045011253,0.88672168,0.0060015,0.106526632,0.306076519,0.00300075
pablo-s/passes,FALSE,0.001584786,110,0.145454545,0,0.1,0.063636364,2.381818182,2.418181818,0
